Date,0050.TW,006208.TW,0056.TW,00878.TW,00919.TW,2330.TW
2008/7/25,53.68000031,,22.12000084,,,57.91044617
2008/7/28,,,,,,57.51243591
2008/7/29,51.86000061,,21.59000015,,,55.72139359
2008/7/30,52.52999878,,21.75,,,56.51741028
2008/7/31,52.38000107,,21.63999939,,,56.71641541
2008/8/1,52.38999939,,21.47999954,,,54.72636795
2008/8/4,52.31999969,,21.22999954,,,55.32338333
2008/8/5,51.20999908,,20.65999985,,,55.92039871
2008/8/6,53.15000153,,21.22999954,,,57.11442566
2008/8/7,53.20000076,,21.13999939,,,58.80596924
2008/8/8,54.77999878,,21.60000038,,,59.20397949
2008/8/11,55.68999863,,21.98999977,,,61.19403076
2008/8/12,55.56999969,,21.87999916,,,60.89552307
2008/8/13,55.40999985,,22.14999962,,,61.49253845
2008/8/14,55.5,,22.39999962,,,60.69651794
2008/8/15,54.59999847,,22.03000069,,,60.59701538
2008/8/18,53.15999985,,21.54999924,,,60.49751282
2008/8/19,52.86999893,,21.64999962,,,58.9054718
2008/8/20,53.41999817,,21.70000076,,,58.9054718
2008/8/21,52.61999893,,21.19000053,,,59.00497437
2008/8/22,52.70000076,,21.15999985,,,59.60198975
2008/8/25,53.72999954,,21.55999947,,,59.70149231
2008/8/26,53.31999969,,21.43000031,,,59.70149231
2008/8/27,54.27000046,,21.82999992,,,59.60198975
2008/8/28,53.66999817,,21.87999916,,,59.60198975
2008/8/29,53.61000061,,22.12000084,,,59.60198975
2008/9/1,51.63000107,,21.45000076,,,57.31343079
2008/9/2,50.63999939,,21.22999954,,,55.72139359
2008/9/3,50.22000122,,20.71999931,,,54.22885513
2008/9/4,49.04000092,,20.02000046,,,52.93532181
2008/9/5,48.43999863,,19.54000092,,,51.94029617
2008/9/8,51.33000183,,20.60000038,,,55.22388077
2008/9/9,49.56999969,,19.80999947,,,54.72636795
2008/9/10,49.58000183,,19.88999939,,,53.33333206
2008/9/11,48.13000107,,19.12999916,,,53.33333206
2008/9/12,48.68000031,,19.39999962,,,52.53731155
2008/9/15,46.81000137,,18.46999931,,,52.53731155
2008/9/16,44.84999847,,17.40999985,,,50.44776154
2008/9/17,45.79999924,,17.51000023,,,53.73134232
2008/9/18,44.93999863,,16.92000008,,,51.24378204
2008/9/19,47.63000107,,17.95999908,,,54.3283577
2008/9/22,48.52999878,,18.51000023,,,56.81592178
2008/9/23,48.86999893,,18.79000092,,,54.42786026
2008/9/24,48.15000153,,18.76000023,,,53.73134232
2008/9/25,47.59999847,,18.46999931,,,52.53731155
2008/9/26,46.81999969,,17.90999985,,,52.83581924
2008/9/29,,,,,,53.13432693
2008/9/30,45.11999893,,17.34000015,,,49.75124359
2008/10/1,45.22000122,,17.62000084,,,53.73134232
2008/10/2,44.47999954,,17.51000023,,,48.75621796
2008/10/3,44.61000061,,17.67000008,,,54.62686539
2008/10/6,42.58000183,,17.03000069,,,54.62686539
2008/10/7,42.84999847,,17.12000084,,,52.1393013
2008/10/8,40.31999969,,16.15999985,,,49.4527359
2008/10/9,39.86000061,,15.77000046,,,49.20397949
2008/10/13,39.11000061,,15.35000038,,,44.27860641
2008/10/14,41.36000061,,16.12000084,,,49.65174103
2008/10/15,40.90000153,,16.03000069,,,53.03482437
2008/10/16,39.50999832,,15.47999954,,,51.24378204
2008/10/17,38.65999985,,15.19999981,,,49.55223846
2008/10/20,38.29999924,,15.10999966,,,43.18407822
2008/10/21,38.15999985,,15.02000046,,,47.0149231
2008/10/22,37.40000153,,14.75,,,46.91542053
2008/10/23,36.27999878,,14.34000015,,,40.94527435
2008/10/24,33.13999939,,13.89999962,,,43.7810936
2008/10/27,31.54000092,,13.25,,,42.28855515
2008/10/28,31.82999992,,13.40999985,,,40.74626923
2008/10/29,32.04999924,,13.43999958,,,42.23880386
2008/10/30,34.11999893,,14.25,,,38.9054718
2008/10/31,35.75,,14.77999973,,,41.5920372
2008/11/3,36.47999954,,15.27999973,,,51.04477692
2008/11/4,36.49000168,,15.32999992,,,49.95024872
2008/11/5,36.31999969,,15.27000046,,,51.04477692
2008/11/6,34.11000061,,14.40999985,,,51.04477692
2008/11/7,34.25999832,,14.68000031,,,41.34328461
2008/11/10,34.11999893,,14.73999977,,,45.77114487
2008/11/11,33.47999954,,14.39000034,,,42.98507309
2008/11/12,33.41999817,,14.35000038,,,45.87064743
2008/11/13,32,,13.96000004,,,46.16915512
2008/11/14,32.15000153,,14.02999973,,,37.51243591
2008/11/17,32.02999878,,14,,,38.60696411
2008/11/18,31.01000023,,13.64999962,,,43.43283463
2008/11/19,30.79000092,,13.60000038,,,38.30845642
2008/11/20,29.23999977,,12.89999962,,,35.17412949
2008/11/21,29.92000008,,12.89000034,,,34.07960129
2008/11/24,29.81999969,,12.81999969,,,35.6716423
2008/11/25,30.79000092,,13.06999969,,,34.52736282
2008/11/26,30.63999939,,13.10000038,,,36.96517563
2008/11/27,32,,13.64000034,,,41.49253845
2008/11/28,32.09999847,,13.60999966,,,40.69651794
2008/12/1,32.49000168,,13.72999954,,,43.43283463
2008/12/2,31.15999985,,13.27000046,,,43.43283463
2008/12/3,30.64999962,,13.13000011,,,40.39801025
2008/12/4,30.32999992,,13,,,39.55223846
2008/12/5,30.20999908,,12.92000008,,,34.3283577
2008/12/8,31.72999954,,13.44999981,,,34.42786026
2008/12/9,32.29999924,,13.56000042,,,36.86566925
2008/12/10,33.86999893,,14.07999992,,,37.76119232
2008/12/11,33.86000061,,14.10999966,,,46.46766281
2008/12/12,32.36000061,,13.64999962,,,47.76119232
2008/12/15,33.45000076,,14.02999973,,,44.47761154
2008/12/16,33.54000092,,13.93000031,,,46.2189064
2008/12/17,33.79999924,,14,,,41.19403076
2008/12/18,33.95000076,,14.15999985,,,42.58706284
2008/12/19,33.77000046,,14.10999966,,,46.7661705
2008/12/22,32.70999908,,13.52999973,,,47.8109436
2008/12/23,31.80999947,,13.17000008,,,41.29353333
2008/12/24,31.89999962,,13.21000004,,,46.66666412
2008/12/25,31.70999908,,13.23999977,,,40.19900513
2008/12/26,31.86000061,,13.34000015,,,45.87064743
2008/12/29,31.78000069,,13.28999996,,,43.18407822
2008/12/30,33.13999939,,13.73999977,,,40.14925385
2008/12/31,33.09999847,,13.67000008,,,41.84079742
2009/1/2,32.86999893,,13.48999977,,,44.17910385
2009/1/5,35.16999817,,14.01000023,,,44.17910385
2009/1/6,36.59000015,,14.02999973,,,46.01990128
2009/1/7,34.70000076,,14.25,,,42.78606796
2009/1/8,33.59999847,,14.19999981,,,41.24378204
2009/1/9,32.43000031,,13.60000038,,,38.45771027
2009/1/12,31.62999916,,14,,,43.63183975
2009/1/13,34.18999863,,13.60000038,,,44.3283577
2009/1/14,32.65999985,,13.80000019,,,46.61691666
2009/1/15,34.77000046,,13.5,,,39.80099487
2009/1/16,31.20000076,,13.19999981,,,37.96019745
2009/1/19,31.45000076,,13.44999981,,,41.24378204
2009/1/20,30.62999916,,13.30000019,,,43.63183975
2009/1/21,30.39999962,,13,,,42.1393013
2009/2/2,30.39999962,,13.19999981,,,42.78606796
2009/2/3,30.71999931,,13.22000027,,,44.47761154
2009/2/4,29.27000046,,13.72000027,,,39.70149231
2009/2/5,33.90000153,,13.39999962,,,39.70149231
2009/2/6,31.77000046,,13.69999981,,,45.1243782
2009/2/9,29.95000076,,13.94999981,,,41.39303589
2009/2/10,32.54999924,,13.97999954,,,48.40795898
2009/2/11,34.97999954,,13.80000019,,,47.71144104
2009/2/12,33.13000107,,14.18000031,,,42.63681412
2009/2/13,34.61000061,,13.89999962,,,41.99004745
2009/2/16,33.27999878,,14.30000019,,,48.9054718
2009/2/17,35.52999878,,14.10000038,,,48.80596924
2009/2/18,31,,13.77999973,,,40.79602051
2009/2/19,32.18000031,,13.76000023,,,47.46268463
2009/2/20,32.29999924,,14.18999958,,,48.30845642
2009/2/23,34.34000015,,13.69999981,,,46.71641541
2009/2/24,31.79999924,,13.72000027,,,41.6417923
2009/2/25,32.5,,13.81000042,,,46.81592178
2009/2/26,32.74000168,,14,,,41.39303589
2009/2/27,30.51000023,,13.97999954,,,41.6417923
2009/3/2,35.36000061,,14.11999989,,,47.8109436
2009/3/3,34.15999985,,13.80000019,,,41.44278717
2009/3/4,29.71999931,,13.89999962,,,41.29353333
2009/3/5,35.04000092,,14.34000015,,,48.95522308
2009/3/6,31.11000061,,14.25,,,43.13432693
2009/3/9,33.70000076,,14.69999981,,,51.54228973
2009/3/10,35.65000153,,14.80000019,,,48.00994873
2009/3/11,35.81999969,,15.30000019,,,50.14925385
2009/3/12,36.63999939,,15.14000034,,,51.84079742
2009/3/13,31.67000008,,15.25,,,44.67661667
2009/3/16,35.06000137,,15.55000019,,,52.63681412
2009/3/17,38.00999832,,15.69999981,,,53.2338295
